epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
25,254.905,0.2383,0.32727,1,7.16697,0.000471648,0.000471648,0.000471648
26,264.794,0.16375,0.32727,1,6.85533,0.00046155,0.00046155,0.00046155
27,274.45,0.1749,0.32727,1,6.98737,0.000451452,0.000451452,0.000451452
28,284.338,0.15585,0.32727,1,7.30211,0.000441354,0.000441354,0.000441354
29,294.09,0.1136,0.32727,1,7.49378,0.000431256,0.000431256,0.000431256
30,303.736,0.13341,0.32727,1,7.38725,0.000421158,0.000421158,0.000421158
31,313.621,0.20316,0.30909,1,7.67187,0.00041106,0.00041106,0.00041106
32,323.599,0.11992,0.32727,1,7.55556,0.000400962,0.000400962,0.000400962
33,333.359,0.14651,0.29091,1,7.97811,0.000390864,0.000390864,0.000390864
34,343.123,0.19428,0.30909,1,7.77559,0.000380766,0.000380766,0.000380766
35,352.875,0.1054,0.30909,1,7.75667,0.000370668,0.000370668,0.000370668
36,362.532,0.11222,0.29091,1,7.56977,0.00036057,0.00036057,0.00036057
37,372.327,0.12264,0.27273,1,7.87811,0.000350472,0.000350472,0.000350472
38,382.11,0.14164,0.29091,1,7.39374,0.000340374,0.000340374,0.000340374
39,392.051,0.11362,0.29091,1,7.23714,0.000330276,0.000330276,0.000330276
40,401.916,0.22397,0.29091,1,7.48675,0.000320178,0.000320178,0.000320178
41,411.72,0.10155,0.30909,1,7.01037,0.00031008,0.00031008,0.00031008
42,421.317,0.11058,0.30909,1,6.89824,0.000299982,0.000299982,0.000299982
43,431.104,0.10774,0.30909,1,7.15868,0.000289884,0.000289884,0.000289884
44,440.846,0.13164,0.29091,1,7.72905,0.000279786,0.000279786,0.000279786
45,450.771,0.07986,0.27273,1,7.52388,0.000269688,0.000269688,0.000269688
46,460.512,0.11355,0.27273,1,7.51637,0.00025959,0.00025959,0.00025959
47,470.436,0.09577,0.27273,1,7.98155,0.000249492,0.000249492,0.000249492
48,480.444,0.1315,0.30909,1,7.53674,0.000239394,0.000239394,0.000239394
49,490.404,0.10161,0.32727,1,7.58413,0.000229296,0.000229296,0.000229296
50,500.212,0.13435,0.32727,1,7.80275,0.000219198,0.000219198,0.000219198
51,510.392,0.13368,0.32727,1,7.58923,0.0002091,0.0002091,0.0002091
52,520.309,0.07608,0.32727,1,7.73038,0.000199002,0.000199002,0.000199002
53,530.244,0.10955,0.32727,1,7.85295,0.000188904,0.000188904,0.000188904
54,540.227,0.10431,0.32727,1,7.65384,0.000178806,0.000178806,0.000178806
55,549.807,0.06881,0.30909,1,7.83252,0.000168708,0.000168708,0.000168708
56,559.542,0.11756,0.32727,1,8.02792,0.00015861,0.00015861,0.00015861
57,569.43,0.08763,0.30909,1,7.68233,0.000148512,0.000148512,0.000148512
58,579.23,0.15498,0.30909,1,7.61279,0.000138414,0.000138414,0.000138414
59,588.98,0.07168,0.30909,1,7.75939,0.000128316,0.000128316,0.000128316
60,598.791,0.06513,0.30909,1,8.0033,0.000118218,0.000118218,0.000118218
61,608.47,0.06508,0.30909,1,8.01607,0.00010812,0.00010812,0.00010812
62,618.201,0.13524,0.30909,1,8.11843,9.8022e-05,9.8022e-05,9.8022e-05
63,627.948,0.11172,0.32727,1,8.13169,8.7924e-05,8.7924e-05,8.7924e-05
64,637.86,0.16259,0.30909,1,8.22718,7.7826e-05,7.7826e-05,7.7826e-05
65,652.608,0.05299,0.30909,1,7.76936,6.7728e-05,6.7728e-05,6.7728e-05
66,662.596,0.14089,0.30909,1,8.12154,5.763e-05,5.763e-05,5.763e-05
67,675.762,0.12175,0.29091,1,8.0035,4.7532e-05,4.7532e-05,4.7532e-05
68,693.491,0.10381,0.30909,1,8.39789,3.7434e-05,3.7434e-05,3.7434e-05
69,704.545,0.0812,0.29091,1,8.17901,2.7336e-05,2.7336e-05,2.7336e-05
70,725.9,0.06754,0.30909,1,8.21265,1.7238e-05,1.7238e-05,1.7238e-05
